Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,6015.29,72183.48,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),estimate,Amazon Route 53,0,542.5,6510,USD,,"Hosted Zones (1), Additional Records in Hosted Zones (), IP (CIDR) blocks (1000), Basic Checks Within AWS (24), Number of Elastic Network Interfaces (2), Number of domains stored (1)"
My Estimate,US East (N. Virginia),Application load balancer,Application Load Balancer,0,155.49,1865.88,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,VPN Connection,0,1802.63,21631.56,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (15), Number of subnet associations (4)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,2008.96,24107.52,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m5a.4xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,1459.2,17510.4,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (2), Instance type (db.m1.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,S3 Standard,0,23.6,283.2,USD,,"S3 Standard storage (1 TB per month), GET, SELECT, and all other requests from S3 Standard (5000), Data returned by S3 Select (1 GB per month), Data scanned by S3 Select (24 GB per month)"
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,,"DT Inbound: All other regions (1 TB per month), DT Outbound: Amazon CloudFront (1 TB per month)"
My Estimate,US East (N. Virginia),,AWS Data Transfer,0,20.48,245.76,USD,,"DT Inbound: All other regions (1 TB per month), DT Outbound: Amazon CloudFront (1 TB per month), DT Intra-Region: (1 TB per month), Data transfer cost (20.48)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,2.43,29.16,USD,,"Number of EC2 instances (6), Number of EIPs per instance (1), Number of EIP remaps (24)"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A brief narrative of the changes I made,,,,,,,,,
- Reduce number of Site-to-Site VPN connections from 24 to 15,,,,,,,,,
- Decrease the number of instance EC2 from 8 to 4,,,,,,,,,
- Use db.m1.xlarge instead of db.m2.xlarge RDS instance,,,,,,,,,
